"Title","Other titles","BL record ID","Type of resource","Content type","Material type","BNB number","Archival Resource Key","ISBN","Name","Dates associated with name","Type of name","Role","All names","Series title","Number within series","Country of publication","Place of publication","Publisher","Date of creation/publication","Edition","Physical description","Dewey classification","BL shelfmark","Topics","Genre","Languages","Notes","Provenance"
"L'Abbaye de Northanger","Northanger Abbey. French","000144629","Monograph","Language material ; Text","Volume","","","","Austen, Jane","1775-1817","person","author","Ferrières, Hyacinthe de [person] ; Austen, Jane, 1775-1817, author [person]","","","France","Paris","","1824","","3 volumes, 12°","","12808.u.39","","","French","",""
"LARPing and JARPing","'You Should Be in Pictures': Jane Austen's Portrait ; An Interview with Joan Klingel Ray, author of Jane Austen for Dummies ; An Interview with Karen Joy Fowler, the author of The Jane Austen Book Club ; Answers to The Jane Austen Aptitude Test ; Answers to the Crossword Puzzle ; Austen the Novelist ; Bedside, bathtub and armchair companion to Jane Austen ; Cinderella and Evil Witches: Myth-Placed Affections ; Emma ; Emma's Dream: Austen and Shakespeare Meet on a Midsummer Night ; Excerpt from the Juvenilia: 'The Adventures of Mr. Harley' ; First Impressions: Letting Jane Austen into Your Life ; Homage to Jane: Movies that Echo Austen ; If Jane Austen Had Been a Man ; If She Could See Them Now: Austen's Relationship with Her Publishers ; Initial Impressions or, 'I'm Missing Your Letters': An Austen Crossword Puzzle ; Jane Austen Film Chronology ; Jane Austen at the Movies ; Jane Austen in the Twenty-First Century ; Last Words: Acknowledgments ; Love and Friendship: 'Beware My Laura' ; Mansfield Park ; More than a Constitutional: Heroines Who Favor Walking ; Mr. Knightley, Detective ; Mrs. Bennet was Right: The Marriage Plot in Austen Novels ; Music in 1995 BBC/A & E Pride and Prejudice ; Northanger Abbey ; Northanger Abbey: The Graphic Novel. A discussion with Anne Timmons, graphic artist ; On Reading Jane Austen ; Persuasion ; Pride and Prejudice ; Pride and Prejudice II, by Kentuck ; Pride and Prejudice: The Rejected Screenplays ; Raiders of the Early Works: The Juvenilia ; Sanditon ; Say Cheese!: Picturesque Beauty and Jane Austen ; Sense and Sensibility ; Sleuthing Regency Dresses ; The Best Gifts for a Janeite ; The Clergy in Austen's Fiction ; The Ideal Jane Austen Tour ; The Importance of a Good Carriage ; The Jane Austen Aptitude Test ; The Lives of Jane Austen ; The Sentence ; The Watsons and Lady Susan ; The bedside, bathtub & armchair companion to Jane Austen ; Was Lady Russell Wrong? ; What Does Lady Bertram Do? ; What Happened at the Ha-ha? ; What Makes a Janeite? ; What's Up with White Soup? Understanding Food in Jane Austen ; Why I Married Her. By Mr. Bennet ; Willoughby v. Brandon ; Winchester Cathedral","019404300","Monograph","Language material ; Text","Online resource","GBB995332","","9781441184863","Adams, Carol J.","","person","","Buchanan, Douglas [person] ; Adams, Carol J. [person] ; Gesch, Kelly [person]","","","United States of America","New York","Continuum","2008","","1 online resource (x, 218 pages), illustrations","823.7","ELD.DS.422482","Women and literature ; Austen, Jane, 1775-1817--Handbooks, manuals, etc ; Film ; Rezeption ; Novelists, English--19th century--Biography ; Women and literature--England--History--19th century ; Literatur ; LITERARY CRITICISM--European--English, Irish, Scottish, Welsh","Biography ; Handbook or manual ; History","English","",""
"LETTERS AND PAPERS of and relating to Jane Austen. The collection forms part of a larger one previously in the possession of Rear-Admiral Charles John Austen (1779-1852); see R. W. Chapman's introduction to J. E. Austen-Leigh, Memoir of Jane Austen, Oxford, 1926, pp. x, xi, and Times Literary Supplement, 14 Jan. 1926, where a full inventory of the papers is given (bound up here as f. i). The latter is cited in the body of this description as 'List.' In two parts, bound in one with a single foliation, as follows :-","","032-002093271","Fonds. Archives and Manuscripts","","","","ark:/81055/vdc_100000000051.0x0003d8","","","","","","","","","","","","[1801-1842]","","2 items","","Western Manuscripts. Add MS 41253 A-B","Austen, Cassandra Elizabeth, sister of Jane Austen ; Austen, Charles John, Captain; RN ; Austen, Eleanor, wife of Reverend H Austen ; Austen, Henry Thomas, Reverend; brother of Jane Austen ; Austen, Jane, novelist, 16 Dec 1775-18 Jul 1817 ; Crosby and Co, publishers, London ; Southey, Robert, poet, 1774-1843 ; Stepney, Catherine, formerly Manners; widow of Sir T Stepney, 9th Baronet","","English","includes:. f. 1 Jane Austen, novelist: Letter to her sister C. E. Austen: [1801]; ff. 1, 16, 17 (?), 20 Cassandra Elizabeth Austen, sister of Jane Austen: Letters to, from members of her family: 19th cent; ff. 3, 19 (extract) Jane Austen, novelist: Correspondence with her brother C. J. Austen: [1817], 1815; ff. 3, 19 (extract) Captain Charles John Austen, RN: Correspondence with his sister. Jane Austen: [1817], 1815; f. 4 b Captain Charles John Austen, RN: Endorsement in hand of: 19th cent; ff. 5-7 Jane Austen, novelist: Opinions of Mansfield Park. by relatives and friends of, in her autogr.: [aft. 1813]; f. 9 Jane Austen, novelist: Opinions of Emma by relatives and friends of, in her autogr.: [aft. 1813]; ff. 12, 13 Crosby and Co; publishers, London: Correspondence with Jane Austen: 1809; ff. 12 (autogr. copy), 13 Jane Austen, novelist: Correspondence with Crosby and Co.: 1809; f. 14 Cassandra Elizabeth Austen, sister of Jane Austen: Extracts from Lockhart's Life of Sir Walter Scott in hand of: 19th cent; f. 15 Cassandra Elizabeth Austen, sister of Jane Austen: Note by: [1842?]; f. 16 Robert Southey, poet: Opinion of Jane Austen's work: n.d; ff. 16, 20 Reverend Henry Thomas Austen, brother of Jane Austen: Letter (imperf.), and postscript to a letter, to his sister C. E. Austen, n.d.: 1837; f. 18 Catherine Stepney, formerly Manners; widow of Sir T Stepney, 9th Baronet: Note conc. her novel The Heir Presumptive: [aft. 1835]; f. 18 Reverend Henry Thomas Austen, brother of Jane Austen: Note in hand of: [1835?]; f. 20 Eleanor Austen, wife of Reverend H Austen: Letter to her sister-inlaw C. E. Austen: 1837",""
"La destruction des genres : Jane Austen et Madame d'Épinay","","016723652","Monograph","Language material ; Text","Volume","","","9782745326546","Grangé, Jérémie","","person","author","Grangé, Jérémie, author [person]","Bibliothèque de littérature générale et comparée","123 [Bibliothèque de littérature générale et comparée]","France","Paris","Honoré Champion","2014","","336 pages, 24 cm","","YF.2018.a.11277","Women in literature ; Austen, Jane, 1775-1817--Criticism and interpretation ; Epinay, Louise Florence Pétronille Tardieu d'Esclavelles, marquise d', 1726-1783--Criticism and interpretation ; English and French literature -Women authors - History and criticism - 18th-19th century","","French","revised version of the author's thesis (doctoral) --Nancy 2, 2008",""
"La recepción y reescritura del mito de Don Quijote en Inglaterra (siglos XVII-XIX)","","017859531","Monograph","Language material ; Text","Volume","","","9788490856307","Bautista Naranjo, Esther","","person","author","Bautista Naranjo, Esther, author [person]","Colección Clásicos Dykinson. Serie: Monografías","","Spain","Madrid","Dykinson","2015","","304 pages, 25 cm","863","YF.2017.a.11337","Don Quixote (Cervantes Saavedra, Miguel de) ; Northanger Abbey (Austen, Jane) ; Austen, Jane, 1775-1817 ; Cervantes Saavedra, Miguel de, 1547-1616--Appreciation--England ; Art appreciation ; English literature--Spanish influences ; Quixote, Don (Fictitious character) ; Pickwick papers (Dickens, Charles) ; Influence (Literary, artistic, etc.) ; Dickens, Charles, 1812-1870 ; Cervantes Saavedra, Miguel de, 1547-1616--Influence","","Spanish","",""
"La représentation de l'argent dans les romans de Jane Austen : l'être et l'avoir","","016773593","Monograph","Language material ; Text","Volume","","","9782296993419","Massei-Chamayou, Marie-Laure","","person","author","Massei-Chamayou, Marie-Laure, author [person]","Des idées et des femmes","","France","Paris","L'Harmattan","2012","","409 pages, 24 cm","","YF.2014.a.17870","Austen, Jane, 1775-1817--Criticism and interpretation ; Money in literature","","French","",""
"La zitella illetterata : parodia e ironia nei romanzi di Jane Austen","","007324196","Monograph","Language material ; Text","Volume","","","","Battaglia, Beatrice","","person","author","Battaglia, Beatrice, author [person]","Illustrations portico","77. Letteratura straniera [Illustrations portico]","Italy","Ravenna","Longo","1983","","253 pages","","X.950/32629","Austen, Jane, 1775-1817 ; Fiction in English--Austen, Jane--1775-1817","","Italian","",""
"Lady Catherine is annoyed with Elizabeth Bennet ... From 'Pride and Prejudice' ... Arranged [by Phosphor Mallam] as a dialogue or scene","Pride and prejudice","000144740","Monograph","Language material ; Text","Volume","","","","Mallam, Phosphor","","person","","Austen, Jane, 1775-1817 [person] ; Mallam, Phosphor [person]","Curwen's Edition ; Sketches from Classical Authors","number 4026 [Curwen's Edition]","England","London","J. Curwen","1912","","7 pages (8°)","","11774.ccc.3. (3.)","","","English","",""
"Lady Susan : Női levelek","Correspondence ; Lady Susan ; Női levelek ; Works. Selections. Hungarian","013176492","Monograph","Language material ; Text","Volume","","","9789637138119","Austen, Jane","1775-1817","person","author","Austen, Jane, 1775-1817 [person] ; Austen, Jane, 1775-1817, author [person]","","","Hungary","Szeged","Lazi Könyvkiadó","2005","","170 pages, 21 cm","","YF.2006.a.4231","English fiction--Translations into Hungarian","Translations into Hungarian","Hungarian","",""
"Lady Susan : The Watsons ; Sanditon","Lady Susan ; Novels. Selections ; Sanditon ; Watsons","007682323","Monograph","Language material ; Text","Volume","GB7501206","","9780140431025","Austen, Jane","1775-1817","person","author","Drabble, Margaret, 1939-, editor ; writer [person] ; Austen, Jane, 1775-1817 [person] ; Austen, Jane, 1775-1817, author [person]","Penguin English library","","England","Harmondsworth","Penguin","1974","","222 pages, 18 cm","823.7","H.75/8","Fiction in English--1800-1837--Texts","","English","",""
"Lady Susan : The Watsons ; Sanditon","Lady Susan ; Sanditon ; Watsons ; Works. Selections","011931692","Monograph","Language material ; Text","Volume","GBA377952","","9780140431025","Austen, Jane","1775-1817","person","author","Drabble, Margaret, 1939- [person] ; Austen, Jane, 1775-1817 [person] ; Austen, Jane, 1775-1817, author [person]","Penguin classics","","England","Harmondsworth","Penguin","2003","","222 pages, 18 cm","","YC.2003.a.21444","Love stories, English ; England--Social life and customs--Fiction","","English","Previous edition: 1974",""
"Lady Susan : The Watsons ; Sanditon","Sanditon ; Watsons","018591989","Monograph","Language material ; Text","Volume","GBB7L2074","","9781847497154","Austen, Jane","1775-1817","person","author","Austen, Jane, 1775-1817 [person] ; Austen, Jane, 1775-1817, author [person]","","","England","Richmond","Alma Classics","2018","","215 pages, illustrations, 20 cm","823.7","YKL.2018.a.22336","England--Social life and customs--Fiction","Fiction","English","",""
"Lady Susan : and The Watsons","Lady Susan ; Novels. Selections ; Watsons","000144490","Monograph","Language material ; Text","Volume","","","","Austen, Jane","1775-1817","person","author","Austen, Jane, 1775-1817 [person] ; Austen, Jane, 1775-1817, author [person] ; Bailey, John Cann, 1864-1931, editor [person]","","","England","London","Eldon Press","1939","","xix, 195 pages, 8°","","012642.n.8","","","English","",""
"Lady Susan ; The Watsons ; Sanditon","Lady Susan ; Novels. Selections ; Sanditon ; Watsons","018522245","Monograph","Language material ; Text","Online resource","GBB7H8351","","9780141907901","Austen, Jane","1775-1817","person","","Drabble, Margaret, 1939- [person] ; Austen, Jane, 1775-1817 [person]","Penguin English library","","England ; United States of America","Baltimore ; Harmondsworth","Penguin","1974","","1 online resource (222 pages)","823.7","ELD.DS.189434","England--Social life and customs--Fiction ; FICTION / Short Stories (single author) ; Manners and customs ; Romance fiction, English","Fiction","English","",""
"Lady Susan and other works","Novels. Selections","016261863","Monograph","Language material ; Text","Volume","GBB308664","","9781840226966","Austen, Jane","1775-1817","person","author","Seager, Nicholas, editor [person] ; Austen, Jane, 1775-1817, author [person]","Wordsworth classics","","England","Ware","Wordsworth","2013","","xxxv, 358 pages, illustrations, 20 cm","823.7","H.2015/.7227","","","English","",""
"Lady Susan","","000144551","Monograph","Language material ; Text","Volume","","","","Austen, Jane","1775-1817","person","author","Austen, Jane, 1775-1817, author [person]","","","England","Oxford","Clarendon","1925","","173 pages, 8°","","012602.h.14","","","English","",""
"Lady Susan","","000144552","Monograph","Language material ; Text","Volume","","","","Austen, Jane","1775-1817","person","author","Johnson, R. Brimley (Reginald Brimley), 1867-1932, writer [person] ; Austen, Jane, 1775-1817, author [person]","","","England","London","Philip Earle","1931","","xxvii, 105 pages, 8°","","012614.bbb.26","","","English","",""
"Lady Susan","","008076334","Monograph","Language material ; Text","Volume","GB8405768","","9780485105001","Austen, Jane","1775-1817","person","author","Austen, Jane, 1775-1817, author [person] ; Chapman, R. W. (Robert William), 1881-1960, editor [person]","The Jane Austen library","","England","Athlone ; London","","1984","","xiii, 173 pages, 21 cm","823.7","X.950/35786","Fiction in English--1800-1837--Texts","","English","",""
"Lady Susan","","009422355","Monograph","Language material ; Text","Volume","GB8411204","","9780552120661","Karr, Phyllis Ann","","person","author","Austen, Jane, 1775-1817 [person] ; Karr, Phyllis Ann, author [person]","","","England","London","Corgi","1984","","309 pages, 18 cm","813.54","H.84/491","Fiction in English--American writers--1945---Texts","","English","Originally published: New York : Everest House, 1980",""
"Lady Susan","","010103782","Monograph","Language material ; Text","Volume","GB8422674","","9780859975513","Karr, Phyllis Ann","","person","author","Austen, Jane, 1775-1817 [person] ; Karr, Phyllis Ann, author [person]","Firecrest","","England","Bath","Chivers","1984","","311 pages, 21 cm","813.54","Nov.52764","Fiction in English--American writers--1945---Texts","","English","Originally published: New York : Everest House, 1980",""
"Lady Susan","","013315700","Monograph","Language material ; Text","Volume","GBA588374","","9780486444079","Austen, Jane","1775-1817","person","author","Austen, Jane, 1775-1817, author [person]","","","United States of America","Mineola, New York ; Newton Abbot","David & Charles ; Dover","2006","","xi, 64 pages, 22 cm","823.7","H.2007/2031","Mate selection--Fiction ; England--Fiction ; Widows--Fiction ; Mothers and daughters--Fiction","Fiction","English","",""
"Lady Susan","","013443150","Monograph","Language material ; Text","Volume","GBA639204","","9781843911302","Austen, Jane","1775-1817","person","author","Austen, Jane, 1775-1817, author [person]","Hesperus classics","","England","London","Hesperus","2006","","95 pages","823.7","H.2006/3918","Great Britain--Social life and customs--Fiction ; Upper class--Fiction ; Women--Conduct of life--Fiction","Fiction","English","",""
"Lady Susan","","015707061","Monograph","Language material ; Text","Volume","GBB0E3280","","9781935554356","Austen, Jane","1775-1817","person","","Austen, Jane, 1775-1817 [person]","The art of the novella","","England ; United States of America","London ; New York","Melville House ; Turnaround","2011","","1 volume, 18 cm","823.7","","Great Britain--Social life and customs--Fiction ; Upper class--Fiction ; Women--Conduct of life--Fiction","Fiction","English","",""
"Lady Susan","","018538751","Monograph","Language material ; Text","Online resource","","","9781787450233","Austen, Jane","1775-1817","person","author","Austen, Jane, 1775-1817, author [person]","","","","","T & T","2017","","1 online resource (136 pages)","","ELD.DS.200268","","","English","",""
"Lady Susan","","018622299","Monograph","Language material ; Text","Online resource","GBB7N9849","","9781781666661","Austen, Jane","1775-1817","person","","Austen, Jane, 1775-1817 [person]","","","","","AUK Classics","2012","","1 online resource","823.7","ELD.DS.230640","Mate selection--Fiction ; Fiction--Romance--Historical ; Mothers and daughters--Fiction ; Vernon, Susan, Lady (Fictitious character)--Fiction ; Fiction--Classics ; Widows ; FICTION / General ; England--Fiction ; Widows--Fiction","Fiction ; Novel","English","",""
"Lady Susan","A memoir of Jane Austen ; Watsons","002121876","Monograph","Language material ; Text","Volume","","","","Austen-Leigh, James Edward","1798-1874","person","author","Austen, Jane, 1775-1817 [person] ; Austen-Leigh, James Edward, 1798-1874, author [person]","","","England","London","","1871","Second edition, to which is added Lady Susan, and fragments of two other unfinished tales by Miss Austen","","","10855.bb.16","Austen, Jane, 1775-1817","","English","",""
"Lady Susan","A memoir of Jane Austen ; Watsons","002121877","Monograph","Language material ; Text","Volume","","","","Austen-Leigh, James Edward","1798-1874","person","author","Austen, Jane, 1775-1817 [person] ; Austen-Leigh, James Edward, 1798-1874, author [person]","","","England","London","Richard Bentley","1883","Fifth edition To which is added Lady Susan, and fragments of two other unfinished tales by Miss Austen","ix, 364 pages, portraits, 20 cm","","1608/2926","Austen, Jane, 1775-1817","","English","",""
"Lady Susan","A memoir of Jane Austen ; Watsons","014546987","Monograph","Language material ; Text","Volume","GBB018809","","9781840225600","Austen-Leigh, James Edward","1798-1874","person","author","Austen, Jane, 1775-1817 [person] ; Austen-Leigh, James Edward, 1798-1874, author [person]","Wordsworth reference","","England","Ware","Wordsworth","2007","","256 pages, illustrations, 20 cm","823.7","YC.2009.a.12468","Austen, Jane, 1775-1817 ; Women novelists, English--19th century--Biography ; Novelists, English--19th century--Biography","Biography","English","paperback",""
"Lady Susan","A memoir of Jane Austen","011534925","Monograph","Language material ; Text","Volume","","","9780841429307","Austen-Leigh, James Edward","1798-1874","person","author","Austen, Jane, 1775-1817 [person] ; Austen-Leigh, James Edward, 1798-1874, author [person]","","","United States of America","Folcroft, Pennsylvania","Folcroft","1979","","","","81/11905","Austen, Jane, 1775-1817 ; Novelists, English--19th century--Biography","Biography","English","",""
"Lady Susan","Complete Jane Austen ; Emma ; Mansfield Park ; Northanger Abbey ; Novels ; Penguin complete novels of Jane Austen ; Persuasion ; Pride and prejudice ; Sense and sensibility ; The Penguin complete Jane Austen","016195353","Monograph","Language material ; Text","Volume","GBB2A7044","","9780670919680","Austen, Jane","1775-1817","person","author","Austen, Jane, 1775-1817 [person] ; Austen, Jane, 1775-1817, author [person]","","","England","London","Viking","2013","","1336 pages, 24 cm","823.7","YK.2014.a.1434","England--Social life and customs--Fiction","Fiction","English","",""
"Lady Susan","Complete Jane Austen ; Emma ; Mansfield Park ; Northanger Abbey ; Novels. Selections ; Persuasion ; Pride and prejudice ; Sense and sensibility","019008501","Monograph","Language material ; Still image ; Text","Volume","GBB8E6458","","9781474938143","Milbourne, Anna","","person","author","Austen, Jane, 1775-1817 [person] ; Milbourne, Anna, author [person] ; Bursi, Simona, illustrator [person] ; Milbourne, Anna [person]","","","England","London","Usborne","2018","","1 volume, colour illustrations, 24 cm","823.92","","Children's stories, English","","English","",""
"Lady Susan","Correspondence ; Lady Susan : Női levelek ; Női levelek ; Works. Selections. Hungarian","013176492","Monograph","Language material ; Text","Volume","","","9789637138119","Austen, Jane","1775-1817","person","author","Austen, Jane, 1775-1817 [person] ; Austen, Jane, 1775-1817, author [person]","","","Hungary","Szeged","Lazi Könyvkiadó","2005","","170 pages, 21 cm","","YF.2006.a.4231","English fiction--Translations into Hungarian","Translations into Hungarian","Hungarian","",""
"Lady Susan","Emma ; Jane Austen : 8 books in 1 ; Love and freindship ; Mansfield Park ; Northanger Abbey ; Persuasion ; Pride and prejudice ; Sense and sensibility","013680096","Monograph","Language material ; Text","Volume","GBB015266","","9780954840167","Austen, Jane","1775-1817","person","","Austen, Jane, 1775-1817 [person]","","","United Kingdom","","Shoes & Ships & Sealing Wax","2006","","806 pages, 25 cm","823.7","YK.2009.a.1013","Great Britain--Social life and customs--Fiction","Fiction","English","",""
"Lady Susan","Emma ; Jane Austen : complete novels ; Mansfield Park ; Northanger Abbey ; Novels ; Persuasion ; Pride and prejudice ; Sense and sensibility","016585963","Monograph","Language material ; Text","Online resource (Mobipocket ebook ; ePub ebook ; PDF ebook)","GBB3B7049","","9780857284655 ; 9780857285829 ; 9780857286024","Austen, Jane","1775-1817","person","author","Austen, Jane, 1775-1817 [person] ; Austen, Jane, 1775-1817, author [person]","Anthem classics deluxe edition","","England","London","Anthem","2013","1st","1 online resource","823.7","ELD.DS.97183","","","English","Additional physical form: Print version. 9780857284648 ; Previously issued in print: 2012",""
"Lady Susan","Emma ; Jane Austen : complete novels ; Mansfield Park ; Northanger Abbey ; Persuasion ; Pride and prejudice ; Sense and sensibility","016094819","Monograph","Language material ; Text","Volume","GBB252435","","9780857284648","Austen, Jane","1775-1817","person","","Austen, Jane, 1775-1817 [person]","Anthem essential classics","","England","London","Anthem","2012","","1 volume, 23 cm","823.7","","","","English","",""
"Lady Susan","Emma ; Jane Austen : the works in eight volumes ; Mansfield Park ; Northanger Abbey ; Persuasion ; Pride and prejudice ; Sanditon ; Sense and sensibility ; The complete works ; Watsons ; Works","017811164","Monograph","Language material ; Text","Online resource","GBB753313","","9781443810975","Austen, Jane","1775-1817","person","author","Austen, Jane, 1775-1817 [person] ; Austen, Jane, 1775-1817, author [person] ; Halsey, Katie, writer [person]","","","England","Newcastle upon Tyne","Cambridge Scholars ; Classic Texts","2008","New edition","1 online resource","823.7","ELD.DS.56478","Man-woman relationships--Fiction ; Classic fiction (pre c 1945) ; Families--England--Fiction ; Courtship--Fiction ; England--Social life and customs--Fiction ; Young women--Fiction ; Manners and customs","Domestic fiction ; Fiction ; Romance fiction","English","",""
"Lady Susan","Emma ; Mansfield Park ; Northanger Abbey ; Novels ; Persuasion ; Pride and prejudice ; Sense and sensibility ; The Penguin complete Jane Austen","016488980","Monograph","Language material ; Text","Volume","GBB379185","","9780670919697","Austen, Jane","1775-1817","person","author","Austen, Jane, 1775-1817 [person] ; Austen, Jane, 1775-1817, author [person]","","","England","London","Viking","2013","","1336 pages, 24 cm","823.7","YKL.2015.a.7711","England--Social life and customs--Fiction","Fiction","English","Originally published: Harmondsworth: Panguin, 1983",""
"Lady Susan","Emma ; Mansfield Park ; Northanger Abbey ; Novels ; Persuasion ; Pride and prejudice ; Sense and sensibility ; The complete novels of Jane Austen : Sense and sensibility, Pride and prejudice, Mansfield Park Emma, Northanger Abbey, Persuasion & Lady Susan","019782264","Monograph","Language material ; Text","Volume","GBC053239","","9780141993744","Austen, Jane","1775-1817","person","author","Austen, Jane, 1775-1817 [person] ; Austen, Jane, 1775-1817, author [person]","Penguin English library","","England","London","Penguin","2020","","1 volume, 20 cm","823.7","","England--Social life and customs--18th century--Fiction","Fiction","English","Originally published: Ware: Wordsowrth Editions, 2007",""
"Lady Susan","Emma ; Mansfield Park ; Northanger Abbey ; Novels ; Persuasion ; Pride and prejudice ; Sense and sensibility ; The complete novels of Jane Austen","016215837","Monograph","Language material ; Text","Volume","GBB2B7860","","9781937994181","Austen, Jane","1775-1817","person","author","Austen, Jane, 1775-1817 [person] ; Austen, Jane, 1775-1817, author [person]","Knickerbocker classics","","United States of America","New York","Race Point","2012","","xii, 1220 pages, 25 cm","823.7","YC.2014.b.70","Social classes--England--History--Fiction ; England--Social life and customs--Fiction","Fiction","English","In slip-case",""
"Lady Susan","Emma ; Mansfield Park ; Northanger Abbey ; Novels. Selections ; Persuasion ; Pride and prejudice ; Sense and sensibility ; Seven novels","017737747","Monograph","Language material ; Text","Volume","GBB620814","","9781435158139","Austen, Jane","1775-1817","person","author","Austen, Jane, 1775-1817 [person] ; Austen, Jane, 1775-1817, author [person]","","","United States of America","New York","Barnes & Noble","2016","","ix, 1220 pages, 24 cm","823.7","YKL.2016.a.11323","Young women--Fiction ; Social classes--Fiction ; Great Britain--Social life and customs--19th century--Fiction","Fiction","English","Originally published: 2007",""
"Lady Susan","Emma ; Mansfield Park ; Northanger Abbey ; Novels. Selections ; Persuasion ; Pride and prejudice ; Sense and sensibility ; The complete novels of Jane Austen","017896403","Monograph","Language material ; Text","Volume","GBB686095","","9780785834212","Austen, Jane","1775-1817","person","author","Austen, Jane, 1775-1817 [person] ; Austen, Jane, 1775-1817, author [person]","","","United States of America","Edison","Chartwell","2016","","1 volume, 25 cm","823.7","","","","English","",""
"Lady Susan","Emma ; Mansfield Park ; Northanger Abbey ; Novels. Selections ; Persuasion ; Pride and prejudice ; Sense and sensibility ; The complete novels of Jane Austen","019576070","Monograph","Language material ; Text","Volume","GBB9H1171","","9781631066436","Austen, Jane","1775-1817","person","author","Austen, Jane, 1775-1817 [person] ; Austen, Jane, 1775-1817, author [person]","Knickerbocker classics","","United States of America","New York","Rock Point","2019","","1 volume, 24 cm","823.7","","England--Social life and customs--Fiction","Fiction","English","",""
"Lady Susan","History of England ; Sanditon ; Sanditon : Lady Susan ; & The history of England &c. : the juvenilia and shorter works of Jane Austen ; Works. Selections","017835694","Monograph","Language material ; Still image ; Text","Volume","GBB662231","","9781909621688","Austen, Jane","1775-1817","person","author","White, Kathryn, Museum curator, writer [person] ; Austen, Jane, 1775-1817 [person] ; Austen, Jane, 1775-1817, author [person]","","","England","London","Macmillan","2016","","504 pages, black and white illustrations, 16 cm","823.7","YKL.2016.a.11035","Upper class--Fiction ; England--Social life and customs--19th century--Fiction ; Women--Conduct of life--Fiction","Fiction","English","'Complete & unabridged'--Half title page ; Originally published: 2011",""
"Lady Susan","Jane Austen's Lady Susan : a facsimile of the manuscript in the Pierpont Morgan Library and the 1925 printed edition","007429126","Monograph","Language material ; Text","Volume","GB9116226","","9780824034351","Austen, Jane","1775-1817","person","author","Austen, Jane, 1775-1817, author [person]","","","England ; United States of America","London ; New York","Garland","1989","","158, 173 pages, illustrations, facsimiles, 27 cm","823.7","YC.1991.b.789","English fiction ; Manuscripts, English--New York (State)--Facsimiles ; England--Fiction ; Austen, Jane, 1775-1817--Manuscripts--Facsimiles","","English","",""
"Lady Susan","Jane Austen's Lady Susan : adapted as a play in two acts","014545979","Monograph","Language material ; Text","Volume","GBA9B0654","","9780954404130","Kelsall, Freda","","person","author","Austen, Jane, 1775-1817 [person] ; Kelsall, Freda, author [person]","","","England","Hebden Bridge","Bridge Cultural Services","2007","","58 pages, 30 cm","822.914","YK.2009.b.8519","","","English","Spiral bound",""
"Lady Susan","Lady Susan : The Watsons ; Sanditon ; Novels. Selections ; Sanditon ; Watsons","007682323","Monograph","Language material ; Text","Volume","GB7501206","","9780140431025","Austen, Jane","1775-1817","person","author","Drabble, Margaret, 1939-, editor ; writer [person] ; Austen, Jane, 1775-1817 [person] ; Austen, Jane, 1775-1817, author [person]","Penguin English library","","England","Harmondsworth","Penguin","1974","","222 pages, 18 cm","823.7","H.75/8","Fiction in English--1800-1837--Texts","","English","",""
"Lady Susan","Lady Susan : The Watsons ; Sanditon ; Sanditon ; Watsons ; Works. Selections","011931692","Monograph","Language material ; Text","Volume","GBA377952","","9780140431025","Austen, Jane","1775-1817","person","author","Drabble, Margaret, 1939- [person] ; Austen, Jane, 1775-1817 [person] ; Austen, Jane, 1775-1817, author [person]","Penguin classics","","England","Harmondsworth","Penguin","2003","","222 pages, 18 cm","","YC.2003.a.21444","Love stories, English ; England--Social life and customs--Fiction","","English","Previous edition: 1974",""
"Lady Susan","Lady Susan : and The Watsons ; Novels. Selections ; Watsons","000144490","Monograph","Language material ; Text","Volume","","","","Austen, Jane","1775-1817","person","author","Austen, Jane, 1775-1817 [person] ; Austen, Jane, 1775-1817, author [person] ; Bailey, John Cann, 1864-1931, editor [person]","","","England","London","Eldon Press","1939","","xix, 195 pages, 8°","","012642.n.8","","","English","",""
"Lady Susan","Lady Susan ; The Watsons ; Sanditon ; Novels. Selections ; Sanditon ; Watsons","018522245","Monograph","Language material ; Text","Online resource","GBB7H8351","","9780141907901","Austen, Jane","1775-1817","person","","Drabble, Margaret, 1939- [person] ; Austen, Jane, 1775-1817 [person]","Penguin English library","","England ; United States of America","Baltimore ; Harmondsworth","Penguin","1974","","1 online resource (222 pages)","823.7","ELD.DS.189434","England--Social life and customs--Fiction ; FICTION / Short Stories (single author) ; Manners and customs ; Romance fiction, English","Fiction","English","",""
"Lady Susan","Lady Susan, Les Watson, Sanditon ; Sanditon ; Watsons ; Works. Selections. French","010159535","Monograph","Language material ; Text","Volume","","","9782267002249","Austen, Jane","1775-1817","person","author","Salesse-Lavergne, Josette, translator [person] ; Austen, Jane, 1775-1817, author [person] ; Austen, Jane, 1775-1817 [person]","","","France","Paris","Christian Bourgois","1980","","227 pages, 21 cm","","X.958/550","","","French","",""
"Lady Susan","Love and friendship and other youthful writings ; Works. Selections","018522574","Monograph","Language material ; Text","Online resource","GBB7H8611","","9780241251348","Austen, Jane","1775-1817","person","author","Austen, Jane, 1775-1817 [person] ; Austen, Jane, 1775-1817, author [person]","Penguin little black classics","number 81 [Penguin little black classics]","England ; United Kingdom","London","Penguin","2016","","1 online resource (128 pages)","823.7","ELD.DS.189763","Great Britain--Social life and customs--Fiction ; Upper class--Fiction ; Women--Conduct of life--Fiction","Fiction","English","",""
